"","text"
"79","@2RealRell Watching the Shazam trailer, it feel more like a comedy movie than a superhero movie, that's the thing that bothers me but it prolly be skraight"
"80","Shazam!’s teenage superhero has plenty of pow factor writes @VickyRoach_Hit #ShazamMovie #MovieReview  #BoxOffice"
"81","@TheCaliNerd Fuck yeah that show is dope i just started to see it. I hope Shazam is great."
"82","@IGN Shazam , missing link and Endgame"
"83","I just keep thinking about Shazam and the cASTING and the spoilers and i just WAOW y’all...."
"84","Justice League “darkness”? ayy lmao did they even watch the film"
"85","Shazam - Fun Family film

Joker - Psychological thriller

BOP - Drama/Action 

WW84 -  Action/Adventure 

The Batman - Noir Crime/Action

Perfectly balanced as all things should be."
"86","#ContestAlert: #JustSayTheWord to get the correct answer! Get your trivia right by answering simple questions and stand a chance to win exclusive screening tickets or exclusive #SHAZAM merchandise! Do not forget to mention your city in your entries."
"87","Can't wait to watch"
"88","Don’t you wish sometimes you can Shazam into the person you’re meant to be"
"89","if uzi drop this will be the best month this year"
"90","@ZachWeinberger @ponysmasher I’m in the minority but I was a fan of Zack Snyder’s take on the characters and wanted to see his version of JL. But I think it was in the best interest to go the direction they’re going. WW, Aquaman, and Shazam have a ton of heart to them."
"91","DC struck gold with #Shazam. @ponysmasher’s direction with this movie is very unique. Not only is it light-hearted, but there are some dark, maybe even horrific undertones in the movie that I didn’t expect. However, one of the best things to me, it has incredible heart. (1/5)"
"92","@TheGramOfCinema @ponysmasher Oh dude, I love what Snyder did, it’s brilliant. I understand the change of pace, if it’s done well like in WW, Aquaman and now with Shazam. It’s just people weren’t ready for the take Snyder did. In my opinion anyways."
"93","oh yea and im seeing SHAZAM ON SATURDAY"
"94","#Shazam is a lot of fun. Never takes the superhero stuff too serious and it also has a cool message about family. @ponysmasher has another winner on his hands. <U+0001F3A5>#AMovieGuy"
"95","Shazam coming out this week....I’m in that thing"
"96","What’ll ya think of the new DC upcoming movie SHAZAM? It looks very corny lol not sure if I even want to see it"
"97","@guhrillaz I was like yeah it really was a good show and then realized u probs posting this cause he in Shazam"
"98","shazam is literally the worst fucking app it never picks up the song"
"99","how to pronounce shazam phonologically correct"
"100","@IGN End game and shazam"
"101","I really really want to see Shazam"
"102","#unplanned #abortion #ProLife #prochoice #PlannedParenthood @PPFA #Shazam @realDonaldTrump @seanhannity @IngrahamAngle @LilaGraceRose @AbbyJohnson @FOXLA"
"103","@IGN Need to check out Shazam and Hellboy tbh. There's something about them that just catch my interest"
"104","Hey Army, Now that the @BTS_twt Concept photos have started being Released Comeback feels like it's right around the corner!

Show us how ready you are by checking off the Streaming Services you'll use!

<U+25FD>Youtube
<U+25FD>Spotify 
<U+25FD>iTunes/Apple Music
<U+25FD>Youtube
<U+25FD>Tidal
<U+25FD>Shazam
<U+25FD>Other"
"105","Why do we Shazam? <U+0001F914>

Western artists encourage Shazam to help with a song's success. Shazams affect radio play, which counts for Hot 100. Tour planners also often look at sales, streaming, &amp; Shazam numbers to decide where artists may hold an event. 

#ARMYEdu @BTS_twt"
"106","<U+0001F4DC> SHAZAM HISTORY 

Shazam is a music discovery app that recognizes a song you may not know when you hear it. The music industry realized Shazams provide insight into popular music. Radio stations have adopted Shazam charts as a way to track popular songs <U+0001F49C>

#ARMYEdu @BTS_twt"
"107","SHAZAM PROGRESS UPDATE<U+0001F4AA>

Our Shazams have increased across comebacks, but we are still working to maintain consistency with Shazams in addtion to sales, streams, &amp; requests. We're pumped to help encourage Shazaming during comeback along with @BTSonShazam! 

#ARMYEdu @BTS_twt"
"108","#Shazam is a ton of fun! There are a few narrative conveniences, but the meta commentary, editing and performances carry the film wonderfully. A great balance of humor and heart that makes for a full experience."
"109","Good morning Aghases, we are getting low on the mentions again so please don't forget to use our hashtags in every twt and replies.
Stream and shazam as often as you can to help GOT7 maintain our spot on the Billboard Social 50.
#GOT7  #<U+AC13><U+C138><U+BE10> 
@GOT7Official"
"110","@jdhmco No way! I am freaking thrilled to have helped / I’m da one <U+261D><U+FE0F> that has spent countless moments searching for a song with only knowing a beat or a few words. 9.5 out of 10 tho I eventually hear it again. Shazam has been a breakthrough!"
"111","Shazam's a fun movie. Some of the jokes are a little repetitive but it's enjoyable.   It's a little surprising to jump between the buddy comedy of the main character with the vilian who has some rather gruesome scenes."
"112","The promotional phase of #Shazam is the best of any DCEU film yet because @ZacharyLevi is so likable. 

I can watch interviews of him promoting the film all day. 

Plus, he's hot. So, there's that."
"113","@xByrxn The 26th ... Shazam come out Thursday"
"114","Movie idea: “Shazam!”, but instead Billy Batson says “Kazaam!” and turns into Shaquille O’Neil."
"115","Bought tickets for me &amp; Ant to go see #Shazam on opening night this Thursday &amp; I am TOO freaking excited"
"116","who wants to go see shazam with me? :,)"
"117","I'm just fascinated that Zachary Levi who plays Shazam has also been Flynn Rider which is in Tangled/Disney and also Fandral from Thor:Ragnarok woahh props to youu 3 in 1 talent <U+0001F44F><U+0001F44F><U+0001F44F>"
"118","Feeling fresh. #SHAZAM<U+26A1>! Is now Certified Fresh on @RottenTomatoes. Don’t miss it in theaters Thursday."
"119","What I would give to have Endgame and Shazam swap release dates"
"120","if my phone is always listening then how come i can't shazam a song that ended just before i could open the app"
"121","Can’t wait!!! Be sure to tune in this Friday. So excited <U+0001F64F>"
"122","Slowly coming to terms with the fact that my retiree parents are probably DC fans. My mum enjoyed Aquaman and now she and my dad are legit planning a movie date to see Shazam"
"123","I can only see one movie this weekend im seeing shazam off dump. Pet sematary can wait lmaooo"
"124","People raving about shazam I need it"
"125","Russia TV spot for Shazam is horrible <U+0001F615>"
"126","@p_kanani2411 Accha.. DC and DC.. Nd btw shazam got really nice reviews on first screening. DCs improving <U+0001F602>"
"127","Shazam is the true Captain Marvel"
"128","@SPICinemas When will the booking for Shazam will be open ??"
"129","i’m so excited to see shazam"
"130","That seems like hyperbole (or maybe not), but I LOVED it."
"131","Radio Airplay is an important metric for charting on Billboard Hot 100!

So basically, the more you Shazam @JYPETWICE’s songs the more likely their songs get played on radio stations which gives twice a chance in charting on HOT100!"
"132","@2gay2lift you just had to have that exclusive sneak peak of Shazam, huh?"
"133","Can someone please explain to me why #Shazam has Thursday night showings at 4 PM and #AvengersEndgame doesn't?! I swear, #Marvel is run by anti-Semites! #MarvelHatesJews"
"134","Seriously, @Russo_Brothers, @Kevfeige, did you guys know that the last 2 days of Passover start on the night of the 25th? Are you trying to upset your Jewish fanbase?"
"135","@GaryL1994 @FANEXPOCANADA What about DC cast? Jason Mamoa is going to be there? Same with the star of Shazam!"
"136","@FANEXPOCANADA Also the star of Shazam!"
"137","Attended an advanced screening of  @ShazamMovie tonight... What a good movie! Lighthearted and entertaining. Liked it more than I thought I would and I'd go watch it again <U+0001F60A> #Shazam"
"138","Shazam is officially became my most favorite dceu moviee and character"
"139","@imAditya_pandey Shazam is a DC comics' new superhero movie... He was talking about deccan chargers, IPL and i thought movie achhi nhi lagi isko...?"
"140","@imAditya_pandey Shazam is a new superhero movie by DC comics... And he was talking about delhi capitals,IPL!"
"141","This week programming cud be like this !!!

#NatpeThunai 2 
#Uriyadi2  2
#SuperDeluxe 2
#KuppathuRaja 1
#Shazam 1

Total 8 shows. Weekend Spl shows for the movies that excels in advance bookings ...

Bookings shud open tomorrow !!!"
"142","@JoeSolemn @Write2Cre8 @ShazamMovie Both DC and Marvel had Captain Marvel's that are completely unassociated. DC's Captain Marvel was renamed Shazam in 1972 after a war with Marvel in which they won."
"143","If you know or you are an upcoming artiste and you don't have that much funds to put your music on good music platform like iTunes, deezer, Spotify, Shazam etc. DM me I  got something for y'all."
"144","#SallyWalker is THAT song! Its still growing in airplay and she has 2 tv performances coming up! So all we have to do is CONTINUE to do our part which is.. SHAZAM &amp; STREAM"
"145","3 movies that I really want to see 

1) Captain Marvel
2) Us
3) Shazam

Need to make an effort to make it to the theater soon."
"146","me opening the shazam app while at h&amp;m"
"147","@TalbertSwan Can’t get enough of this but I think he forgot to say;  “SHAZAM!”<U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923>!!!!!"
"148","@skepsepstein songs that Jonah Hill would be too shy to Shazam in public"
"149","On my way to the city now to check out a critic/media screening of SHAZAM!"
"150","@TheRadicalJawa I bet Shazam is going to make more money on the opening weekend than CM did"
"151","@IGN If @cineworld would hurry up and release End Game tickets then I'd be booking that.

Already seen advance preview of Shazam, loved it.

Don't do horrors so Pet Sematary can jog on.

Wasn't too impressed with Hellboy trailer but will no doubt still watch it.

Missing Link? Meh."
"152","@IGN Shazam and end game!!"
"153","On the bright side, it’s finally April and we’ve got Pet Sematery, Shazam, Hellboy and Endgame to look forward"
"154","@NacioMartinez but like?? Can I play those at 2 in the afternoon?? does Jonah Hill’s Private Shazam list live in safe harbor hours?? 
Or its just songs that Jonah Hill is too embarrassed to admit he doesn’t know which is...doable"
"155","So apparently Annabelle has a lowkey cameo in ‘Aquaman’ &amp; in thee upcoming ‘Shazam’"
"156","Only reason why I wish PlayStation had avatars"
"157","You’re a legend"
"158","I'm not gonna say what her first power would be, but her second would be flight."
"159","The ability to win an exclusive xbox console for them and me"
"160","The ability to win both of us an exclusive xbox one"
"161","The power to think of a creative response, allowing them to win both of us an exclusive xbox one"
"162","i might be able to go see shazam tomorrow but who knows"
"163","It’s April and I am so HYPED! 
One Punch Man Season 2
Game Of Thrones Season 8
Avengers Endgame 
Shazam
Hellboy
This bout to be a great Month!"
"164","#SHAZAM @SHAQ The only Shazam we recognize <U+0001F937><U+0001F3FE><U+200D><U+2642><U+FE0F>"
"165","They showed trailer for it yesterday before shazam! and gosh... I’m just nOT THERE YET OK"
"166","Shazam looks like it's about to take a commanding lead in the Razzie race."
"167","@Eva__Precious Endgame all the way although I definitely want to watch Shazam, Pet Sematary and La Llorona."
"168","April is going to be a busy month at the movies <U+0001F64C> Mark your calendars:
<U+0001F3AC> April 4, #PetSematary
<U+0001F3AC> April 5, #Shazam
<U+0001F3AC> April 12, #Hellboy
<U+0001F3AC> April 24, #AvengersEndgame"
"169","I'll watch Shazam and Avengers but not at the theater."
"170","#SHAZAM is the real Captain Marvel!"
"171","Shazam is out this Thursday,  end game in 3 weeks.... whew...."
"172","Movie gon be ass. I’ll wait til it hit Netflix to watch it"
"173","I wasn't interested in Shazam until I saw Zachary Levi in The Marvelous Mrs. Maisel and the middle-aged mom in me says, ""Oh, isn't he so talented? I just love him."""
"174","Shazam is awful. The Last Jedi is still better but nothing beats Badang."
"175","I wanna go watch Shazam this Thursday but the last 2 Thursday’s I went to the movies I woke up sick af the next day and I think it’s just bad luck so maybe not this time <U+0001F602>"
"176","we going <U+2708><U+FE0F> to watch shazam tomorrow (hopefully <U+0001F630>)"
"177","IDK what code he is speaking"
"178","I decided I wanted to pay for the new DC streaming app, add it to my Boomerang app I am enjoying reliving Saturday morning memories w Superfriends, Shazam, Scooby Doo, Jetsons, Jonny Quest, I may never leave my bedroom again,"
"179","this year is just so exciting,,, captain marvel, endgame, far from home, shazam, dark phoenix, oitnb s7, caos s2, stranger things s3, lucifer s4,,,"
"180","shazam is so soon omg this month is gonna be so FULL"
"181","Downloaded the Shazam app but no superhero appeared. 

Wouldn't recommend."
"182","@sapanv I am sorry but DC is slowly finding it's way the new Shazam movie has a 94% on rotten tomatoes 
People recognize the real captain marvel and not that mess created by marvel"
"183","I love superheroes movies... but Shazam be looking like a joke already man"
"184","<U+0001F538><U+FE0F>""HOLD ON, WHAT OS A SHAZAM?""

Shazam is a song recognition app, NOT a streaming service. It listens to song and tell you song's name. Radio stations use its data to determine interest in their market. Remember to shazam with location on so you wil show up on local report."
"185","@BEAST42151602 @Mbali_porsh The song is by Stark D... name of the song is exponent... 

Have you never used shazam before?"
"186","@Terrencioooo Congrats on winning 2 tickets to Shazam on Wed, Apr 3, 7:30PM, Resorts World. You may pick up your tickets at the registration booth at Cinema 3 by 7PM. <U+263A><U+FE0F>"
"187","@ivanroblas Congrats on winning 2 tickets to Shazam on Wed, Apr 3, 7:30PM, Resorts World. You may pick up your tickets at the registration booth at Cinema 3 by 7PM. <U+263A><U+FE0F>"
"188","#Shazam and #AvengersEndgame are the must sees. would go watch #PetSematary but I can’t   :’("
"189","Im not going to see Shazam when it comes out in a few days, because I already saw the original shazam when it came out in the 90s. Yknow the one with Sinbad as a genie??"
"190","Where is the none of the above poll<U+0001F440>"
"191","April may just be the most exciting month of the year!! Game of Thrones S8, SWCC, Episode IX footage, Avengers Endgame, Attack on Titan S3, Shazam, and many more reveals!!! LET'S GO!! <U+0001F64C><U+0001F64C><U+0001F64C>"
"192","Shazam will be showing tomorrow?! Tanaw ta Manila friends huhuhu."
"193","#FeelYouNow 
Shazam: 206 shazams
Spotify: 128,245 streams
Youtube (Lyric Video): 80,990 views

Goal: 150k streams by the end of the day!"
"194","It’s been more than one year since I tweeted this - I’ve since seen #Shazam and can safely say @ponysmasher had absolute cracker under his sleeve and blew me away. Go see it."
"195","Me: Man, there are hardly any Mary Marvel cosplayers.
*Shazam! premieres in theaters*
Every cosplayer with boobs: Lets do Mary Marvel!!!!!
Me: Another trend I dont mind at all.
#cosplay #Shazam<U+2060> <U+2060> #dccomics"
"196","Wow it looks so realistic <U+0001F4AF>"
"197","Shazam, Pet Sematary, GOT8, and Avengers: Endgame - my top picks for this month."
"198","Shazam is a funny movie, but no action. So whoever wanna go watch it, GL."
"199","Good move to watch with your family"
"200","Just when you thought you'd made it out of #AprilFoolsDay safely... #Shazam"
"201","@comicsexplained I'm trying to figure out the whole Captain Marvel/ Shazam thing... in Young Justice he is referred  to as Captain Marvel, but in Justice League War he calls himself Shazam... Would it be safe to assume that one is based on New 52, but the other isn't?"
"202","@osasu_elaiho @Eva__Precious Shazam, Endgame, Pet Sematary and just want to see HellBoy cause of Milla Jovovich"
"203","@TrewJosh0220 @beatledave @cineworld Wow you're going to watch US and pet Sematary again? You sure like horror movies <U+0001F602>. I'm looking forward to watching Missing link. And Shazam again. I was hoping Friday but I'm not sure if I can now. Might be Sunday after work."
"204","Shazam in coming"
"205","Chuck was all the superhero I needed #bringbackbartowski ...Also congratulations on Shazam! @ZacharyLevi you’re great."
"206","I'm actually crying, I love @zacarylevi so much, from Chuck to Toby in Alvin and the Chipmunks, to Shazam. But he will always get me right in the heart strings with Eugene in Tangled <U+0001F495><U+0001F62D>"
"207","@IGN Shazam and Avengers for sure. Maybe Hellboy."
"208","It’s been a while since I did this. Tbh I felt a bit scared to review this movie because fanboys might come at me with pitchforks but I really LOVE this movie. Check out my take on #SHAZAM"
"209","These motherfuckers deadass shazam"
"210","No words from nobody. No promotion from my local cinema, super underrated. But I bet it’s mind blowing. #Shazam"
"211","@darren_gaskell @LGTHBlog Recent (new): Shazam! A terrific superhero film full of heart that is also very funny.

Recent (rewatch): The Devil's Doorway. A 60's set found footage horror that was the scariest film I saw last year, and on a rewatch still terrifying."
"212","@Disney 
Dear Disney,

Please get theatres to screen the Lion King trailer before these movies:

Aladdin
Toy Story 4
Avengers : Endgame
The Secret Life Of Pets 2
Shazam!
Detective Pikachu
Ugly Dolls
Missing Link

Thank you."
"213","@LGTHBlog I saw Shazam last week, and I absolutely loved it.

I can't remember the last time I saw something as pure and fun. It was like watching a superhero movie made in the 80s with all the heart of an Amblin movie.

Very funny, good action, and it felt like it actually had a message."
"214","Shazam Pre release screening Thursday at 9pm"
"215","I am going to book my ticket for Shazam tomorrow. I cannot hold my excitement I love Adam Brody since The O.C."
"216","@dreamflower127 @ThoughtsOnGD @justericsmith Can I be Admiral Shazam?"
"217","@IGN I’m seeing 2 actually. Shazam and of course #AvengersEndgame"
"218","@IGN Shazam, check.
Pet something something.. not interested
missing link,. umm.. whats that? orang utan?
EndGame, ofcourse, duh.."
"219","@boomborks The best kind #SHAZAM"
"220","@ODEONHelp what happened to the 10.50 showing of Shazam at your hull venue? Is it full or was it removed?"
"221","Excited to see Shazam this weekend with fambam! Weeee! Zachary Levi lezgetit!!!"
"222","#ShazamAtSMCinema
Hope for a chance to win premier of
Shazam :)"
"223","yeah shazam is out in almost every theater here tomorrow except the one near me lmao fuck my life"
"224","Is anyone thinking the same w/ me that Anabelle rn is the Stan Lee of DCEU? Because if you watch Shazam..."
"225","There is a Captain Marvel in the DC Universe who is now called Shazam?.."
"226","We have to admit, despite #Shazam<U+2060> <U+2060> and Wonder Woman doing good, the #DCEU will never expand. The JLA is basically finished."
"227","We have to admit, despite #Shazam and Wonder Woman doing good, the #DCEU will never happen."
"228","@I_Am_MFR @DaBeardOfZeus We really need a sequel to mos...just don't understand this delay when every other solo had them confirmed. Shazam almost confirmed at this point."
"229","Thought #shazam was a remake of #kazaam this whole time and I'm disappointed now that its not"
"230","Me: Man, there are hardly any Mary Marvel cosplayers.
*Shazam! premieres in theaters
Every cosplayer with boobs: Lets do Mary Marvel!!!!!
Me: Another trend I dont mind at all.
#cosplay #Shazam #dccomics"
"231","Apparently, Shazam was shit. Haven’t watched it but it sure is making me lose all hope on DCEU. DCU has been my everything but brah y’alls screwed it up with Martha &amp; especially, especially when y’all made Steppenwolf look like an utter joke."
"232","Some good reviews for #Shazam. I'm impressed and I hope this isn't a scheme where critics get the gold in their pockets to bloat things up. I'm highly expecting over the projected $50m and expecting a good reception from fans. Hardcore Marvel guy but DC needs this win."
"233","@TECNOMobileNG I been dull lately
I have no form of  inspiration
I surely need 3 doses of that creative spark! From the #Spark3Launch 
With the gift from @TECNOMobileNG, I'll be able to challenge #Shazam cos it's my #TimeToLightUp <U+0001F602><U+0001F602><U+0001F602>"
"234","Any important info could be saved/ bookmarked for later.  For i.e. comeback goals or #Shazam tutorials.  So many possibilities to promo their CB. @BTS_twt, @bts_bighit, @BigHitEnt, sharing feedback so you know there are very willing Instagrammers who will promo on that platform."
"235","#TeenTitansGO ""Thank you flying child man.""  Wow, the Titans really did rip #Shazam a new one in this episode!  Kept making Billy say Shazam to force him to switch back into a kid.  This was silly."
"236","Excuse me, Can I get the attention of the class?For one second."
"237","already saved up for it. treating my fam to a movie this friday night <U+0001F49B>"
"238","RT BTSxHawaii: Why do we Shazam? <U+0001F914>

Western artists encourage Shazam to help with a song's success. Shazams affect radio play, which count…"
"239","The two movies have so much in common. Except for the piano sequence in the toy store"
"240","I started pronouncing Shazam as if it rhymes with orgasm as a joke but now I’m stuck"
"241","When you no no what you speak let's look at the marvel studios solo movies empty generic movies that have more crossovers then a crossover Shazam actually throws everything in it's content and focuses on it's movie"
"242","@iainlaurie Shazam looks promising - which probably means the best bits are in the trailer."
