"","text"
"73","An untold perk about living in New York City is #LaLlorona will never show up here. No one cares about a strange woman weeping in public. We will keep talking on the subway right next to you like nothing is happening."
"74","Is #LaLlorona not out in all UK cinemas ?!"
"75","#TheCurseOfLaLlorona delivered a solid $2.75M in it's preview shows. This is ahead of past horror release #PetSematary which opened to $2.3M opening. #LaLlorona #horror #BoxOffice"
"76","#TheCurseOfLaLlorona opened to a wonderful start as it collected $11.80M on Friday. In comparison #PetSematary opened with a $9.9M Friday. #BoxOffice #LaLlorona"
"77","When speaking of the new movie, please don't ask me to pronounce, #LaLlorona . I'm just not mexican enough to do it justice."
"78","#LaLlorona was better than The Nun. Low bar but there’s that. They should really release the Conjuring Universe spinoffs on Netflix."
"79","Tell me why there are so many children in this showing of #LaLlorona"
"80","Like I am not a fan of children being in rated R movies but of all the ones you bring them to it's #LaLlorona  <U+0001F644>"
"81","Seeing ts tn <U+0001F608>"
"82","Today is the day everyone! Bump this jam while you head to the theater to see #TheCurseOfLaLlorona"
"83","The Nun was trash and now this"
"84","the hunger games have begun"
"85","the third one.... I’m nutting"
"86","About to watch #LaLlorona 

I am preventively horrified."
"87","Who’s trying to go<U+0001F440>"
"88","I’m mad that I saw so many negative comments surrounding #LaLlorona. it was great, had a very Supernatural feel to it (as in the tv show) people are so quick to talk shit about something without even seeing it."
"89","Wait, #LaLlorona is part of The Conjuring universe too?!"
"90","Really disappointed that #LaLlorona was a flop. Seeing reviews that they tried too hard to connect it to #TheConjuring Universe instead of focusing solely on the folktale is tragic. They should have shot this movie in Mexico instead of L.A. I mean... it IS a Mexican Folktale."
"91","Nigga, I deadass though this was Andrea. If you know, you know exactly who she is."
"92","And I thought I had already found plenty of reasons NOT to see this film, but then this happens, and someone actually thought this was a good idea..."
"93","I was expecting Conjuring Priest Couple to kill her, and save the family from the curse. But, never mind. <U+0001F60C> ""The Curse of La Llorona(2019)"" is better than ""The Nun"" 
 #LaLlorona #LKA"
"94","I was expecting Conjuring Priest Couple to kill the her, and save the family from the curse. But, never mind. <U+0001F60C> ""The Curse of La Llorona(2019)"" is better than ""The Nun"" 
 #LaLlorona #LKA"
"95","We are looking to do a video on the #LaLlorona curse #creepy #creepypasta #haunted #paranormal #urbanlegends"
"96","Going to see this tonight!"
"97","#LaLlorona tonight with the husband <U+0001F37F><U+0001F3A5><U+0001F47B> <U+0001F633><U+0001F62C>"
"98","Using curanderismo as a stage prop is a continuation of the long history of appropriating, denigrating and corrupting the sacred rituals and cultural values of native people."
"99","#FilmTwitter PSA: DONT BRING CHILDREN TO HORROR MOVIES IN THE THEATER!! Especially if the primary victim in said movie, IS CHILDREN. Also they make lots of noise and ruin it for the rest of us. End of speech. #LaLlorona"
"100","7/10 it could’ve been so much better"
"101","i grew up with my grandma telling me about #LaLlorona and scaring me about her, i ain’t seeing the movie <U+0001F62D><U+0001F602>"
"102","ON With Mario Lopez Friday 7PM: Joe Don Rooney from Rascal Flatts talks new single #BackToLife &amp; how to party with them &amp; the women of #TheBachelor. Mario looks back at a life-changing decision he made 11 yrs this week.  The real legend behind the movie The Curse of #LaLlorona"
"103","All I’m saying is I better get scared and I better need Ashton to hold me!!!"
"104","My girl is taking us to a tacos and tequila spot before we see the movie #LaLlorona <U+0001F970> she knows my love language"
"105","@Mrsdowgert1 Extra gross stuff?? I just watched The Nun. It looked cool but a little cheap on the scares. Hitting up #LaLlorona next weekend."
"106","Got to see it last night"
"107","Aaleyah and I went on a coo Easter Egg hunt, watched #LaLlorona and then grabbed some pizza. I’d say it was a FANTASTIC day <U+0001F49C>"
"108","The Curse of La Llorona not worth fam! #LaLlorona"
"109","I have a feeling I’m not gonna watch #LaLlorona at the drive in today :("
"110","Gonna watch the story that scared the living shit out of me my entire childhood. #LaLlorona <U+0001F648>"
"111","The quandary: do I see a movie featuring a Mexican folk legend, even though the production team is lousy with white folk? I know, it’s not that black (brown) and white. Appropriation? Your call. Were it a doc, I’d watch, but since it’s not, I’ll pass. #RandomThoughts #LaLlorona"
"112","This movie was something serious"
"113","Sorry son that I scared you as a child, but the story of La Llorona needed to be passed to the next generation no matter what part of the world we are leaving. #LaLlorona #frommychildhoodtoyourchildhood"
"114","At the movies watching #LaLlorona"
"115","Are you fucking kidding me right now?! 

Limpias ARE NOT a PR stunt you assholes! 

The healing practices of Cuanderos is sacred and to be respected. 

#LaLlorona #Whitewashing #MexicanFolklore"
"116","My review of #LaLlorona is live!

TLDR: The Curse of La Llorona took a genuinely haunting legend and churned it for shock and awe. Sometimes subtly is better, even when your ghost is known to wail. #horror"
"117","The only Llorona movie worth watching!! #LaLlorona"
"118","Movies tonight with my hubby &amp; the family #LaLlorona <U+0001F440><U+0001F633>"
"119","Who’s down to go watch this? No <U+0001F9E2>"
"120","Yo if this film turns out to be white-washed. Ima be pissed. 

I have tickets to the 7pm showing so let’s see. 

Also, I don’t think it will be mainly bc I’m absolutely in awe of James Wan &amp; Gary Dauberman. But still"
"121","Okay I’m trying to see #LaLlorona"
"122","I thoroughly enjoyed #TheCurseOfLaLlorona, the first Conjuring Universe movie I've ever seen. The story of the weeping woman #LaLlorona had me hooked. Every scene was meaningful, so no time was wasted getting to the good stuff. Great camerawork, acting, and jump scares. 7.5/10"
"123","I'm no horror movie expert, but the biggest reason I liked this film is because #LaLlorona was in so many scenes. The heel was visible throughout the movie, rather than just 3 or 4 times. The movie was about the antagonist, who had LOTS of screen-time. Quite refreshing, honestly."
"124","The way my mom told me the story was scarier tbh but still worth a watch"
"125","We’re going on a quadruple date later on to go see #LaLlorona pretty excited hehe"
"126","Can't wait to watch #LaLlorona because nothing can be scarier than @realDonaldTrump remaining in office."
"127","laughing at all the people who can't pronounce the movie #LaLlorona"
"128","I’m having a movie date with my mom as a good homosexual <U+263A><U+FE0F>
#LaLlorona"
"129","Watching this tonight in 4DX go stupid go crazy <U+0001F92A>"
"130","Lots of grandmas and tias here for the #LaLlorona movie <U+0001F926><U+0001F3FD><U+200D><U+2642><U+FE0F><U+0001F926><U+0001F3FD><U+200D><U+2642><U+FE0F>"
"131","Got done with #LaLlorona reminds me of the earlier years with cuz who lived next to the river <U+0001F631>"
"132","If you go and see #LaLlorona and laugh at anything that isn't meant to be a joke, you are a racist."
"133","I don’t have anyone to go with <U+0001F62D>"
"134","Hear her cries. The Curse of #LaLlorona in theaters this Thursday."
"135","Watching #LaLlorona tomorrow &amp; I’m hyped, hopefully it doesnt disappoint<U+0001F9D0>"
"136","This is a fat mood"
"137","“Fuck Mexicans” and also “Lets steal their culture and sell it back to them”"
"138","Everybody laughing at the scene with the eggs. <U+0001F95A><U+0001F602> #LaLlorona"
"139","@RealRaymondCruz The Avengers aint got shit on ""El Curandero"" #LaLlorona #AvengersEndgame"
"140","The Curse of La Llorona grossed an estimated $2.75M from Thursday night shows that began at 7PM.

#LaLlorona  #TheCurseOfLaLlorona  #BoxOffice"
"141","About to watch #LaLlorona <U+0001F60A>Hollywood hope you didnt mess this up! Staying positive! <U+0001F917>"
"142","People legitimately believe in her."
"143","If your a latino you believed that  #LaLlorona existed and you would behave for a bit when mom would mention her..despues te valia madres"
"144","A very wet film. Lots of rain, dripping water, big pool. Definitely go to the bathroom before the film starts. #LaLlorona"
"145","@JasimNabeel watch this with meeeeee <U+0001F97A>"
"146","On some real shit #LaLlorona took an L to a white lady smh<U+0001F602> but she did have mixed children so....<U+0001F609>"
"147","#LaLlorona was without a doubt the dumbest movie ever lol I hate @Jenn0404_ for making me waste my money<U+0001F602><U+0001F602><U+0001F644>"
"148","I remember the first time my mom told me the La Llorona story....we were driving back home from Vegas (I was like 6). I remember getting home that night and crying myself to sleep with all the lights on. <U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F62D>... I hope the movie doesn’t disappoint me <U+0001F3A5><U+0001F62C> #LaLlorona"
"149","Chased my kid out the movie theater while whispering, “mi hija” <U+0001F602> she was gone!!! <U+0001F3C3><U+200D><U+2640><U+FE0F> <U+0001F4A8>"
"150","Just about the only compliment I can give #LaLlorona is ""It's not as bad as The Nun""."
"151","Universal Studios has done a fantastic La Llorona maze or two for Halloween Horror Nights #HHN before, so I'm just going to fondly remember those instead."
"152","This bitch scary , but I’m so down to watch it , who’s down???"
"153","Going to watch #LaLlorona tonight <U+0001F970>"
"154","Just watched the curse of la llorona, and I realized how much alike are @realDonaldTrump and la Llorona. Both are taking latin kids away from their parents like nobody’s business. That and Plus all the f***ing crying... #LaLlorona #TheCurseOfLaLlorona"
"155","Just watched the curse of la llorona, never realized how much @realDonaldTrump had in common with her! Taking away latin kids away from larents. #LaLlorona #CurseofLaLlorona"
"156","Waiting on reviewssss"
"157","In the car on way to go watch #lallorona trying to educate these kids that in our culture #lallorona dont play it's some real sh*t"
"158","I don't care what people thought about #LaLlorona Seeing it with mi mamá, my sister, and a theater full of Latinos was an amazing experience. I thought they told our story well"
"159","Never Seen That Much Mexicans Ever Show Up For A New Movie Release #LaLlorona"
"160","Currently sitting in the movie theater with my man waiting for this movie to start"
"161","I just wanna know why this couple thought bringing their two 6ish year old children to watch #LaLlorona <U+0001F642> they were annoying as shit"
"162","Tbh La Llorona could have been better if it had more of a Hispanic culture aspect to it and more Hispanic characters like come on this is the story most of us grow up hearing about it , overall the movie was mostly jump scares <U+0001F615>#LaLlorona"
"163","Going to watch #LaLlorona AGAIN with my sister tonight!! @michaelchaves @lalloronamovie @ConjuringFilms"
"164","#LaLlorona was better the second viewing!! I loved seeing Father Perez and Annabelle appear in the movie! @lalloronamovie @michaelchaves @ConjuringFilms"
"165","Theres mexican parents out here watching #LaLlorona reliving their childhood nightmare like everyother latino nd i thing thats really ballsy of us"
"166","#LaLlorona I really enjoyed it. @lalloronamovie"
"167","@istaley__  we in there"
"168","Ready for the curse of My Sharona!

Watching #LaLlorona"
"169","Watch #LaLlorona with my coworkers."
"170","I screamed my head off. My BFF grabbed my thigh so hard I had to take her hand off. I grabbed her hand once and she was like your hurting me. I jumped a lot. #LaLlorona"
"171","I rather enjoyed #LaLlorona :) I thought it was a cool addition to the Conjuring universe"
"172","So after my YT binge watch, I went to see @lalloronamovie . Eh, I wasn't really impressed at all.  I love scary movies, but this movie didn't make the cut.  I've could have waited until it was released on Netflix. This movie didn't really represent the REAL story #LaLlorona"
"173","Can't believe y'all had the fucking nerve to disrespect my girl #LaLlorona and her story. White people really love to appropriate other cultures and ruin them."
"174","Bitch don’t go to the movies pay me back"
"175","As a Mexican, I grew up listening to stories told to me by my mother and grandmother about #LaLlorona 
You took everything that was good, scary, and sacrosanct about this Mexican legend and literally fucked her! 
Fuck every single person who worked on this movie. #EndRant"
"176","Rant warning!
I went to see #LaLlorona 
I've been waiting to see this movie since it was announced. 
As a Mexican girl, I grew up listening to stories about her. 
I was excited
1/"
"177","I’m very mad that #LaLlorona didn’t really depict the fear behind the actual legend, my mom been hyping sis up for the longest...."
"178","This movie was good <U+0001F3AF> I love horror movies <U+0001F44C><U+0001F3FE><U+0001F5A4>"
"179","Went and saw La Llarona with my mans and when we left the movies he said he was gonna make me La YaMoana and idk what to do with this dude lol #LaLlorona"
"180","Saw #LaLlorona and it wasn’t disappointing people should watch it and give it a chance it was a good movie"
"181","Taking Aeden to watch his first scary movie in a theater <U+0001F62C><U+0001F9DF><U+200D><U+2640><U+FE0F> #LaLlorona"
"182","Honestly. This movie freaked me out. Like"
"183","Great movie, go see it... there’s a ltitle mindfuckery in there too but go see it. <U+0001F609>"
"184","Watching @lalloronamovie! 

What did you think of the movie? Let us know! 

#LaLlorona #AMC #AMCAList #AMCTheater #MovieReviews"
"185","About ready to settle in and give this a twirl. Have been interested since hearing about it so fingers and toes crossed it's not a fizzer."
"186","On a serious note, I thought #LaLlorona was gonna suck. Let’s just say I’m sleeping with the lights on tonight... every singe one. And probably not showering <U+0001F602><U+0001F602>"
"187","Just saw @lalloronamovie gotta admit it was freaky but a really great movie worth watching. #LaLlorona"
"188","Just saw #LaLlorona and I can already see all these #hipsters rubbing #Huevos on everything <U+0001F602><U+0001F602> especially since #Chuey from #BloodInBloodOut / #BoundByHonor came through with his reformed self <U+0001F602><U+0001F602> #NoMamen Pinche movie mamila <U+0001F602><U+0001F602>"
"189","#LaLlorona was alright. I’m a horror film enthusiast, please recommend me your favorite scary movies <U+0001F9D0>. ‘Hereditary’ and the original Thai ‘Shutter’ will always be among my favorites!"
"190","I never seen so many Mexicans in a movie theater lol #LaLlorona #movienight"
"191","Watching  #LaLlorona  brought me back so many memories of being scared as fuck of la Llorona, still am <U+0001F631>"
"192","beep boop beep boop: US (2019) coming to theaters #LaLlorona #zankuchallenge"
"193","I really loved @lalloronamovie and I do want to see it again very soon. #lallorona"
"194","@LauraBenanti just watched #LaLlorona there is a version of Arrorro Mi Nino in it...thanks for making your version not creepy af."
"195","Double feature #PetSemetary #LaLlorona holy shit they were both good. My wife screamed twice in la llorona. She watches horror flicks all the time and rarely screams."
"196","All my childhood memories are about to come true #LaLlorona"
"197","I watched #LaLlorona tonight... I learned every culture tells their kids fucked up shit to make them behave.

I learned I won’t have to lie. “Alexa hears and sees everything you do and she can report back to me. But most importantly she reports to #jeffbezos”"
"198","#LaLlorona wasn't too scary but it was interesting. This bitch Annabel wanna be poppin up everywhere though lol nosy bitch."
"199","Just watch #LaLlorona good and scary movie"
"200","Went to watch #LaLlorona opening night and honestly the movie wasn’t great but at least the theatre was LIT.  “Puta madre” and “no mames” all over the place <U+0001F602><U+0001F602> #raza"
"201","Just saw  #LaLlorona, it was cute but it was whitewashed to me. This HISPANIC folktale should’ve been surrounded by a full Hispanic cast and I would’ve liked it placed in Mexico better. I give it a 4/10."
"202","This white couple side eyed me &amp; my mom bc we said it could’ve been more Hispanic based lol. WE SAID WHAT WE SAID <U+0001F5E3> #LaLlorona"
"203","@lindacardellini I just saw #LaLlorona like 5 seconds ago, it was so good, and the acting amazing! I love loved it! I'm also really excited for #deadtome next month!"
"204","In case you were wondering the curse of La Llorona is WORTH IT!! And further proof you need to take a Chankla to your kids butts! #DidYouHearHerCrying #LaLlorona"
"205","The Curse of #LaLlorona is a great story with lots of potential that delivered in some aspects but not the most crucial. The film was still spectacular for what it was and will hopefully be an example of what can improve especially with such fantastic stories. I still enjoyed it!"
"206","ok but I’ve never related to a movie more lol when the cùrador started rubbing an egg all over the house bitch I died bc SAME <U+0001F602> #LaLlorona"
"207","So... are we not going to acknowledge the fact that they made “#LaLlorona” look like Pennywise the Clown?<U+0001F937><U+0001F3FD><U+200D><U+2642><U+FE0F><U+0001F602>"
"208","I grew up with this ghost story!!!! <U+0001F631>"
"209","Do ghosts really need to open your doors and windows to enter the house ? I mean they are ghosts........#LaLlorona #movies"
"210","i’m so paranoid after watching the #LaLlorona . my parents hyped this movie for years and it still scared me"
"211","Maybe I'm just out of it lately,  but I didn't even know #LaLlorona was even part of the Conjuring Universe. They are REALLY milking that shit for all it's worth,&amp; there's nothing but corn chunks left."
"212","Update: 
#LaLlorona wack overall <U+0001F602> the audience was what made it laughable"
"213","Who else wants to see this #horror #HorrorMovies"
"214","OMG just seen this and I laughed so much<U+0001F602><U+0001F602><U+0001F602><U+0001F499>#LaLlorona"
"215","The #LaLlorona had one reference to #Annabelle can you believe that shit!!!!"
"216","@NeffTheGreat"
"217","Wait wait wait. But who’s actually down to see this <U+0001F602><U+0001F602>"
"218","@aliciavaltierra Hahahaha hahahaha better off straight to VHS I’m not watching #LaLlorona bc they want the Latino buying power without any effort. Fuck um"
"219","Just watched #LaLlorona and I never screamed penedeja so many times in a movie"
"220","The way I was told of the folklore of La Llorona was that she walks alongside bodies of water and she will try to catch you and drown you not that she will attach herself to you. Maybe there are different versions but I didn't like that she attached herself. #LaLlorona"
"221","Anyone going to see #LaLlorona tonight? Let me know if it’s worth it"
"222","Actually really enjoyed @lalloronamovie it was creepy as hell and love how it connects to Conjuring Universe! Great work @michaelchaves #LALLORONA"
"223","Go see LaLlorona go see it now it is really good everything about it was awesome #LaLlorona #Awesome #ImKindaScared"
"224","So...#LaLlorona...am I rite?  Can we get rid of the idiot kid trope?"
"225","also, #LaLlorona standing out side the house is me making sure my sure my man ain’t cheating on me in the club <U+0001F92A>"
"226","So who going with me ?"
"227","Just watched #LaLlorona in bed <U+0001F60E>, great bootleg copy . Shout out to this jail broken box I got , and the person who sat at the movie theaters n recorded it and put it on there ASAP I appreciate YOU!!"
"228","#LaLlorona reminded me of all the family ghost stores and encounters. <U+0001F62B>"
"229","My friend and I are watching all of the Conjuring universe movies in order and this one came out just in time<U+0001F64C><U+0001F64C>
Just saw this one tonight <U+0001F44F><U+0001F44F>"
"230","So who wants to go see #LaLlorona <U+0001F440><U+0001F440> my movie partner @AhoostaLopez isn’t here <U+0001F494>"
"231","So I watched The curse of La llorona tonight, &amp; it made me think of one question. What's really the difference between cultural appropriation vs cultural appreciation? I think this movie is on that thin line between both. #LaLlorona #deepthoughts"
"232","Bruh I’m mad that they didn’t put La Llorona’s iconic line “Donde estan mis hijos” that movie was disappointing I expected better since it was a conjuring type movie #LaLlorona"
"233","What kind of parents take their kids to go see #LaLlorona <U+0001F62B>"
"234","Went to see #LaLlorona tonight. If you’re wondering how it was, it’s basically the white people version."
"235","Just watched this, this movie’s ass. Save y’all monies"
"236","I aint gon lie this had jump like a mf couple times<U+0001F62D>"
"237","someone please come watch this with me !!"
"238","So if anyone is trying to watch #LaLlorona don’t waste your money!"
"239","I only care about The Conjuring 3 and Annabelle asdfghjkl"
"240","As soon as the mom said “la Llorona” in a Caucasian accent I left the movie. Smfh #LaLlorona"
"241","Awesome movie! I just watched it and enjoyed it <U+0001F608>"
"242","#LaLlorona movie was a literal knock off version of the original myth. #disappointed <U+0001F92E>"
"243","See what happens when men cheat?? #LaLlorona"
"244","Man i don’t think y’all appriecate the extent for which La Llorona terrified Latino kids. My neighbor told us don’t play by the 605/10 fwy exchange bc of her.. im a grown man and still shiver a little driving by. <U+0001F629><U+0001F629> #LaLlorona"
"245","Brenda took her lashes off in the movies because that bitch kept jumping and closing her eyes #LaLlorona <U+0001F923><U+0001F923>"
"246","White people really be gentrifying cultures huh? #LaLlorona was nothing to what we expected"
"247","RT @iamkapilan: I was expecting Conjuring Priest Couple to kill her, and save the family from the curse. But, never mind. <U+0001F60C> ""The Curse of La Llorona(2019)"" is better than ""The Nun"" 
 #LaLlorona #LKA"
