"","text"
"41","just cried my eyes out! #BreakthroughMovie"
"42","Can’t wait to see this movie!!"
"43","1000/10 recommend seeing #BreakthroughMovie I was crying my eyes out &amp; had chills the whole movie <U+0001F62D>"
"44","Wow! @ChrissyMetz did such an amazing job in her role in @SeeBreakthrough!
Thanks to @StephenCurry30 for producing such a great movie on the power of prayer! Go see this movie and yeah you might cry! <U+0001F601>#BreakthroughMovie"
"45","Cannot wait to see the #BreakthroughMovie with @Enchantedpr my Twitter Babies gonna see it too??"
"46","20thcenturyfox - RT ACMawards: If you didn't catch this moving performance featuring ChrissyMetz, CarrieUnderwood, Lauren_Alaina, MaddieandTae and MickeyGuyton at the #ACMawards, we've got you covered!

Watch the #BreakthroughMovie inspired performance on CBS and CBSAllAcces…"
"47","Great movie!!! We saw it last night. Go. Go right now."
"48","/going to see the movie in 3 hours.....looking forward to it!!"
"49","Love wins!  Can’t wait to see this! @SeeBreakthrough #BreakthroughMovie"
"50","@SeeBreakthrough...what a great movie and so timely for this #Easter weekend! #breakthroughmovie #goseeit #miraclesstillhappen"
"51","Take tissues!  Just got out of the theater!  Perfect movie for #GoodFriday #Breakthrough"
"52","@DeVonFranklin @SeeBreakthrough @StephenCurry30 As a Christian screenwriter also working on faith-based script inspired by true events, I went to see #BreakthroughMovie last night + was v. impressed by @ChrissyMetz + @TopherGrace performances, the screenwriting, direction + the refusal to settle 4 easy 3rd act answers. Bravo!"
"53","what you're going to do"
"54","@Mleudy and I just watched it. It’s amazing!
#BringTissue"
"55","Breakthrough grossed an estimated $1.55M on Thursday.  2-Day total stands at $3.44M.

#BreakthroughMovie  #BoxOffice  @DisneyStudios  @20thcenturyfox  @SeeBreakthrough"
"56","For some of my hoop-head friends out there. Ya boy Steph out here ballin' and producing movies with substance and meaning on this #Easter weekend. Please go and support. You will be moved. #breakthroughmovie"
"57","@roxdaws. Well done and thank you. #BreakthroughMovie"
"58","Going to see it tonight"
"59","Yesterday is not ours to recover but tomorrow is ours to win or lose meaning. #BreakthroughMovie"
"60","Who wants to see this with me??? I’m gonna ugly cry"
"61","Today was such a blessing. AM service, breakfast, #BreakthroughMovie [crying a river], lunch, cherry blossoms, and conversation at the park sipping #starbuckscoffee with loved ones. And now, finally winding down. By far, one of the best days ever! #HappyGoodFriday"
"62","Just my opinion, but I thought all of the singers were amazing except for Metz. She sounded karaoke to me."
"63","Captain marvel will take over Shazam soon and you said it didn’t have legs. Lmao @OdinsMovieBlog"
"64","Watched this today with my family. Amazing true story of love and prayer! #dontmissit #pray"
"65","Sooo on Wed of this week I had plans to go &amp; see #BreakthroughMovie at Burbank AMC 16.  I couldn't make it so I had planned on catching it this Saturday...

...I'm EXTRA super duper excited &amp; looking forward to the Breakthrough experience everyone is raving about!!<U+0001F64C><U+0001F3FF>"
"66","Who is the beached whale?"
"67","Just saw #Breakthroughmovie and it is Remarkable!!! Y’all have to check it out! <U+0001F64C><U+0001F3FE><U+0001F64C><U+0001F3FE><U+0001F64C><U+0001F3FE> @SafeMode6_ Can’t wait to see your miraculous story on the big screen! <U+0001F64F><U+0001F3FE>#Resurrection @DeVonFranklin @StephenCurry30 @nhclc"
"68","This was such a great movie. When I say I cried the entire time, that’s exactly what I did. Great message. <U+0001F64F><U+0001F3FD>"
"69","@SeeBreakthrough is such a beautiful movie! I highly recommend you watch it if you haven't already seen it. @TopherGrace @themarcelruiz @ChrissyMetz &amp; everyone who was apart of making this film. <U+0001F44F><U+0001F44F><U+0001F44F><U+0001F49C><U+0001F49C><U+0001F49C> #BreakthroughMovie"
"70","Just got back from watching #BreakthroughMovie and it was so amazing and inspiring! Congrats to this insanely talented cast. 
Friend, if you haven't seen this movie, go see it! 
Also #hallmarkies, there are so many familiar faces from the Hallmark Channel family in this movie <U+0001F64C><U+0001F3FD>"
"71","Saw it this morning! Loved it!"
"72","#BreakthroughMovie was a good Christian film and not just because @StephenCurry30 executive produced it. Loved it."
"73","@ChrissyMetz was such a strong force in #BreakthroughMovie.  She really embodied the fighting love of #JoyceSmith and she had faith when nobody else thought he'd live."
"74","Gonna check out #BreakthroughMovie. It's a hopeful story which is needed on #GoodFriday"
"75","Amazing movie <U+0001F3A5> #BreakthroughMovie"
"76","This weekend take a break grom the embarrassing dysfunction of our government and take in this miraculous story...."
"77","It wasn’t enough for @ChrissyMetz to make us cry at home. Now she’s gotta make us cry at the theater too! #BreakthroughMovie"
"78","@ChrissyMetz captured me in @NBCThisisUs first and again in @SeeBreakthrough wow. What an amazingly talented woman. Felt every emotion. #BreakthroughMovie"
"79","A must see this tomorrow. Yes, we declare that this miracle from God makes the big screen. Everyone needs to know that this is all God. Trust and believe because God is truly able and amazing. So grateful!"
"80","Wohooooo... I have to watch Breakthrough <U+0001F60A>"
"81","Omg, #BreakthroughMovie. Go see it. Now.

That is all.

<U+0001F64F><U+0001F3FC><U+0001F49C>"
"82","Went to see #Breakthroughmovie and I definitely recommend it!"
"83","""Yesterday is not ours to recover but tomorrow is ours to win or lose.""

""Love is the most powerful force.""

""You have to do your best, nothing less and God will do the rest."" (nv)

#BreakthroughMovie"
"84","Do ür best and GOD will do the rest.
Must watch! #BreakthroughMovie"
"85","Sooooo went to see this just because I have the AMC premiere pass. I haven’t cried that much in a long time. Sheesh <U+0001F926><U+0001F3FE><U+200D><U+2640><U+FE0F>"
"86","@ChrissyMetz thank you for your beautiful performance in #BreakthroughMovie — it’s releasing faith and love into the world!  Congrats to everyone involved!! <U+0001F64F><U+0001F3FC><U+2764><U+FE0F>"
"87","Surrender everything to the Lord. Let go and let God. <U+0001F499> #BreakthroughMovie"
"88","#BreakthroughMovie will teach us that we have a purpose and we are loved.<U+2764><U+FE0F>"
"89","@themarcelruiz you were sooo good in #BreakthroughMovie <U+0001F44F><U+0001F44F><U+0001F44F>"
"90","Just watched #BreakthroughMovie. Very heartwarming and inspiring. Not at all hateful or preachy the way some faith based movies can be. Congrats @ChrissyMetz and all involved! <U+0001F60A><U+2764><U+FE0F>"
"91","If you havent seen #BreakthroughMovie you need to. I've never cried so much in a movie. @ChrissyMetz gave the performance of a lifetime"
"92","BREAKTHROUGH 
$1.548M Thursday Estimate 
$3.436M 2-Day Domestic Total 
#BreakthroughMovie #BoxOffice"
"93","Stay positive no matter what the dark just gives stars their chance to shine
 #BreakthroughMovie #quoteme #FridayFeeling #loveispowerfull"
"94","I loved this movie<U+203C><U+FE0F><U+203C><U+FE0F><U+203C><U+FE0F><U+0001F44F><U+0001F3FD><U+0001F44F><U+0001F3FD><U+0001F44F><U+0001F3FD>"
"95","Bruh the trailer of this new movie #BreakthroughMovie gives me chills...

This medic said

""God show me where to find him, I don't believe in god:"
"96","<U+0001F3AC> What. A. Great. Movie<U+0001F44D><U+0001F3FD><U+0001F44D><U+0001F3FD>
@ChrissyMetz played that part!

....Shoutout to @WGCV620AM @GCCofSC &amp; @CarlLSolomon for the Free-View <U+0001F39F>"
"97","If you haven’t listened to “Hold On” by @MickeyGuyton, I highly recommend it. This song is so powerful especially if you are going through a tough time<U+2764><U+FE0F><U+0001F64F><U+0001F3FD> @SeeBreakthrough #BreakthroughMovie"
"98","Do NOT see the movie Breakthrough!! I repeat- DO NOT DO IT!! Unless you want to cry, watch miracles happen, see the power of prayer &amp; the beauty of faith &amp; community. Otherwise, completely pointless movie. #Breakthroughmovie #GoodFridayGoodChoice @rmaxson48 <U+2764>"
"99","#BreakthroughMovie ALL THE FEELS!!!!!!!!!! #faith #love #hope"
"100","#BreakthroughMovie was so amazing. I actually cried and have so much more faith<U+0001F629><U+0001F64F><U+0001F3FE>"
"101","@ChrissyMetz  great job in #BreakthroughMovie   Thank you for doing that role."
"102","I didn’t realize @StephenCurry30 was the exec. Producer of #BreakthroughMovie until the movie started... Unbelievable story and movie. Great job!"
"103","Tami and just just watched “Breakthrough”. Breakthrough is a POWERFUL movie!  Watch it this Easter Weekend. #breakthroughmovie #devonfranklin"
"104","Saw the movie @SeeBreakthrough &amp; cried the WHOLE entire time.. <U+0001F62D><U+0001F62D><U+0001F62D> #BreakthroughMovie"
"105","Thank you @DeVonFranklin, @StephenCurry30, @ChrissyMetz, @JoshLucas, @TopherGrace, @DennisHaysbert and more for an amazing and inspiring movie.  So wonderful to have movies of this caliber that our family can share during such a special week. #BreakthroughMovie"
"106","Went to see @SeeBreakthrough today. Such a beautiful movie. Great job @ChrissyMetz the music was beautiful, the acting superb. I didn't know how much I needed this movie and the message. I highly recommend it #BreakthroughMovie"
"107","The movie breakthrough is soooo good #BreakthroughMovie"
"108","The power of #BreakthroughMovie is beyond moving.    What an important message of letting #God control the outcome and #TrustTheProcess and path that He has.  This is important in my life.
#OneStepCloserCatholic @FrPhilTangorra"
"109","#BreakthroughMovie was really intense. Even knowing everything about the movie, I still cried my eyes out. Absolutely worth seeing!!!"
"110","As a hispanic adoptee, adopted from Colombia when I was a couple months old &amp; brought to the U.S. by my adoptive parents - #BreakthroughMovie was an amazing experience I can't easily put into words.

Seeing a family like mine up on the silver screen - I NEEDED this. Thank you."
"111","This movie really hit home for me. Let go and let God. Great movie <U+0001F44F><U+0001F3FF> #BreakthroughMovie"
"112","Such a wonderful movie, it made me think of my grandma, this movie helped me release some of the pain I still had inside me...still working on it - I promise Grandma <U+2764><U+FE0F><U+2764><U+FE0F>"
"113","Loved it"
"114","@MattDickerson God Is still in the business of performing miracles. #BreakthroughMovie"
"115","Just watched the #BreakthroughMovie ... I should’ve brought more tissues. 

This is a very beautiful movie based on a true story. I would totally recommend it.  

God specializes in performing miracles."
"116","“Love never gives up,never loses faith,is always hopeful and endures through everything circumstances” 1 Corinthians 13:7 #BreakthroughMovie"
"117","I learned that sometimes you just really need to surrender everything to the Lord. #BreakthroughMovie"
"118","I learned that sometimes you need to surrender everything to the Lord. #BreakthroughMovie"
"119","And now we are blessed with our rainbow baby because we didn’t lose hope and faith that one day God will answer our prayer and 9 weeks or less from now she will be in our arms..<U+0001F64F><U+0001F3FC><U+0001F495> #BreakthroughMovie"
"120","One year ago we loss our two twin boys although that ‘miracle’ didn’t happen like it is in the movie.. we still both know that Love wins and Love is powerful.#BreakthroughMovie"
"121","@StephenCurry30 was in Winnipeg and y’all didn’t even notice. #BreakthroughMovie was beautiful. Excellent film!"
"122","Just saw this! Very inspiring!!"
"123","Y’all the #BreakthroughMovie man it’s so good, how amazing the power of prayer is.
Loved it<U+0001F9E1>
Had me in tears!"
"124","Now I’m sitting here thinking bout that movie..... &amp; if you don’t know whether to believe in God or not. That movie (based on a true story btw) will sure make you believe. Devon Franklin &amp; Steph Curry produced the heck out of it and Krissy Mets acting <U+0001F44C><U+0001F3FD>#BreakthroughMovie"
"125","I'm so mad at this movie I might have to go see it"
"126","Pero grabe ka worth it sa movie.  If you're a christian,  a believer,  a non-believer but faced difficulties in life.  It's a really must watch. 
#BreakthroughMovie"
"127","Maybe someone was saved and someone was taken back because everything has always a purpose.  Because it's God's time.  And because it is according to His plans.  So,  just surrender and believe.  
#BreakthroughMovie"
"128","I wanna watch that  #breakthroughmovie"
"129","I finally get to see this movie tomorrow &amp; ooh my goodness I’m not ready <U+0001F927><U+0001F927>"
"130","Corporate prayer is amazing.
#BreakthroughMovie"
"131","Miracles happen when we pray. <U+0001F64F>
#BreakthroughMovie"
"132","Miracles happens when we pray.
#BreakthroughMovie"
"133","Ohh I now understand!!! Will makes u feel like it's #american. Taking u to film house to watch #BreakthroughMovie . that out door event center as cinema will be no more<U+0001F64F><U+0001F3FE>"
"134","#BreakthroughMovie in the Philippines huhuhuhuhuhuhuhu"
"135","Just watched @SeeBreakthrough at @eVent_cinemas @WestfieldAU Garden City!! What a powerful movie! Go and see it! #BreakthroughMovie"
"136","The MCU is impressive but let's not forget the biggest cinematic universe, the ""faux-religeous manipulative tripe"" cinematic universe has a new entry coming soon...#BreakthroughMovie"
"137","Never have I ever felt so emotional that tears fell down at my eyes because of a movie amazing story You're really amazing Lord <U+0001F62D> #Breakthroughmovie"
"138","Now, contemplating about the #BreakthroughMovie... How beautiful and powerful faith is!"
"139","#BreakthroughMovie portrayed beauty in faith and community. And will leave you a simple yet powerful message; to let go and let God."
"140","#BreakthroughMovie was terrific! @ChrissyMetz is a diamond <U+0001F48E> I’m still crying and shouting. #amustsee"
"141","This was a great movie <U+2764><U+FE0F><U+0001F62D><U+0001F64F><U+0001F3FD>"
"142","#BreakthroughMovie based on a true is a Must See! #GoSeeit

Especially for #HolySaturday &amp; #EasterSunday

@ChrissyMetz gave some powerful answered #prayer lessons in the movie

I cried and other people cryed too

Thanks @DeVonFranklin for a great film <U+0001F3A5>

#Saturdaymorning #movies"
"143","The #BreakthroughMovie based on a true story is a Must See! #GoSeeit

@ChrissyMetz gave some powerful answered #prayer lessons...Great for #HolySaturday &amp; #EasterSunday

I cried and other people did too

Thanks @DeVonFranklin for a great #movie <U+0001F3A5>

#Saturdaymorning at the #movies"
"144","“Yesterday is not ours to recover, but tomorrow is ours to win or lose.”

#BreakthroughMovie"
"145","OK. The countdown begins. #BreakthroughMovie  in theatres on Wednesday April 17th. Don’t wait. Please, if you are planning to see BREAKTHROUGH, please see it this week. From now through Easter Sunday, please share with me a Breakthrough in your life, and I will respond. <U+0001F64F><U+0001F495>"
"146","Yesssss great movie"
"147","Great Movie my husband and i loved it"
"148","Why in white Christian hell was this promoted on my TL"
"149","What activity is your family doing this Easter weekend? Seeing this powerful movie is a great activity to add to you Easter weekend celebration. Christ has risen. Happy Easter. #BreakthroughMovie"
"150","What activity is your family doing this Easter weekend? Seeing this powerful movie is a great activity to add to you Easter weekend celebration. Christ has risen. Happy Easter."
"151","It’s great there are two new wide releases in the US this weekend w/ female protagonists (#BreakthroughMovie and #CurseOfLaLlorona), but women do more than mother, for fuck's sake. Imagine if 99 percent of movies about men were about them specifically as dads. #grrr"
"152","God is Very Real!! 

Thank You to everyone that worked on this Amazing and very moving Movie #BreakthroughMovie 

“For the Father loveth the Son, and sheweth him all things that himself doeth: and he will shew him greater works than these, that ye may marvel.”
John 5:20 KJV"
"153",".@ChrissyMetz, I saw you in #BreakthroughMovie last night (#GoodFriday). You were awesome!! You showed in the movie that a mother's love is stronger than death. I recently lost my mother and your performance reminded me of her. Her love kept me going during difficult times."
"154","Powerful, faith-building film. Saw it last night. Loved it! #Easter #Resurrection."
"155","#BreakthroughMovie

Excited to go see this powerful movie on this beautiful #EasterSaturday 

Congrats to @GingerKolbaba for Co-authoring the amazing book behind it"
"156","True inspiring movie. Power of love, resilience and never-giving-up spirit.
#BreakthroughMovie"
"157","last night i went to watch #BreakthroughMovie &amp; i cried so much. whole movie theater was crying <U+0001F62D><U+0001F62D>"
"158","@ClarkAmie and I are going to see @SeeBreakthrough  in Fond du Lac today. I heard from a friend that it's really good. #BreakthroughMovie"
"159","@ChrissyMetz I saw the movie #BreakthroughMovie last night. Absolutely inspiring and uplifting. So emotional. You were awesome Chrissy."
"160","@DeVonFranklin thank you for the #BreakthroughMovie it is such an inspirational story of trusting God and faith.  I as truly blessed today.  This blessed my soul as well
“Yesterday is not ours to recover, but tomorrow is ours to win or lose”"
"161","@ChrissyMetz Just seen the movie! WOW!  You were amazing!  Powerful movie! Our God IS a God of miracles! #BreakthroughMovie"
"162","Great movie. Highly recommended"
"163","Horrible casting! Typical LA casting bullshit. @SeeBreakthrough Dumb movie. #Breakthroughmovie"
"164","Go see this movie and resurrect your faith in Almighty God!!!"
"165","Think ima see this tonight. Feel like I need to actually"
"166","#BreakthroughMovie started a little slow (for me) then went through the roof and became in my opinion one of the best movies of 2019. 

Based on a true story and right in line with the Easter Season.

A @StephenCurry30 produced film.

GO GET RENEWED THIS SEASON - A MUST SEE."
"167","I just got back from watching Breakthrough. Loved it!"
"168","When are you going to see #BreakthroughMovie?"
"169","@ChrissyMetz just got home from #BreakthroughMovie. Big, 'ol ugly cry! Applause throughout the theater. Great to hear you sing, too. <U+0001F44F><U+0001F44F><U+0001F44F><U+0001F44F><U+0001F44F>"
"170","Just got back from seeing @SeeBreakthrough and y’all need to go see this amazing movie! Thoroughly enjoyed it and even cried a little<U+0001F62D><U+2764><U+FE0F> #BreakthroughMovie"
"171","Just saw #BreakthroughMovie and OMG @ChrissyMetz and the rest of the cast. WOW. For anyone that thinks she is talented in #ThisIsUs she’s even better in this movie."
"172","Is it bad to go to the theatre and watch #BreakthroughMovie and sneak in some McDonalds? Asking for a friend ......"
"173","Wanted to give a shout out to @roxdaws for not only portraying the badass #BlannaTorres on #StartrekVoyager for 7 years, but for directing the very inspirational and moving #BreakthroughMovie that made #2 at the box office. Go see it, no matter your faith. Beautiful film!"
"174","Sooo @lecrae not gonna mention he had a small part in #BreakthroughMovie?"
"175","I learned so much from this movie. Excellent #BreakthroughMovie"
"176","Just watched the movie Breakthrough and cried the whole movie! I’m not talking about a few tears, but sobbing. <U+0001F62D>Awesome movie. Everyone should go see it! <U+0001F497> #BreakthroughMovie @SeeBreakthrough"
"177","If you’re going thru a tough time I encourage you to go and watch @SeeBreakthrough movie... what an amazing testimony of how God is still very much in a miracle business... Luke 18:27; Proverbs 3:5-6 #BreakthroughMovie"
"178","@roxdaws @roxdaws my wife and I just got home from watching #BreakthroughMovie and it was amazing.  We did a Facebook post from the theater.  Definitely a must see for Resurrection Day. This will join my digital movie collection when it hits iTunes. Congratulations!!!"
"179","Sat in a sold out #BreakthroughMovie and we all sang and cried together. Such amazing movie, go see it <U+2764> went to see it with a friend who doesnt believe."
"180","20thcenturyfox - RT MattDickerson: JoshMShep DeVonFranklin SeeBreakthrough Thanks brother! DeVonFranklin and the entire cast of #BreakthroughMovie put all their heart and soul into it. We know lives are going to be greatly impacted!"
"181","20thcenturyfox - When are you going to see #BreakthroughMovie?"
"182","20thcenturyfox - RT HKoonts: Just got back from seeing SeeBreakthrough and y’all need to go see this amazing movie! Thoroughly enjoyed it and even cried a little<U+0001F62D><U+2764><U+FE0F> #BreakthroughMovie"
"183","#BreakthroughMovie when I tell you, I was boohoo crying during more than half of this movie.. omg <U+0001F62D> 
God is truly awesome."
"184","My hubby and I went to see this movie last night and we both were sobbing like babies! GOD sis GREAT! Terrific movie!"
"185","<U+0001F62D><U+0001F62D><U+0001F62D>beautiful movie <U+0001F3A5> very emotional I cried the entire time <U+0001F62D><U+0001F62D><U+0001F62D>"
"186","I would like to see #BreakthroughMovie because of Chrissy Metz"
"187","I want to see #BreakthroughMovie just because of Chrissy Metz."
"188","#BreakthroughMovie Phenomenal...So Uplifting and Inspiring! @DeVonFranklin #faithbased #movies #spiritual #family"
"189","I just saw this movie and OMG it was so good I SOBBED MY EYES OUT but still real good 15/10 would recommend"
"190","This is so my mom <U+0001F914>"
"191","When a @BrunoMars song is on at the beginning of the movie and a @carrieunderwood song is on at the end you know it was good! #BreakthroughMovie"
"192","loved this movie. so good <U+2764><U+FE0F>"
"193","When you're in this world you wonder what's your purpose. Keep living and believing and find your own place. You were made by Him so that automatically you're special. <U+271D><U+FE0F><U+271D><U+FE0F> #BreakthroughMovie"
"194","You have a purpose and you are LOVED #BreakthroughMovie"
"195","Disagree slightly on Lucas but on whole agree. Also, for the record I do not have a problem w/rappers during Worship. We are to sing a new song onto the Lord. #BreakthroughMovie"
"196","@JoshLucas great performance in #BreakthroughMovie its hard to separate you from Sweet Home Alabama, but this movie and Glory Road have helped a little.... Hope to see you on Twitter again too..."
"197","I swear I didn’t expect to cry that much so did Ate Cia 

#BreakthroughMovie 
<U+0001F62D>"
"198","Estimated Weekend Box Office Top 7 for Apr. 19 - Apr. 21, 2019

1. The Curse of #LaLlorona - $26.51M
2. #Shazam - $17.34M
3. #BreakthroughMovie - $11.10M
4. #CaptainMarvel - $9.10M
5. #LittleMovie - $8.45M
6. #Dumbo - $6.80M
7. #PetSematary - $4.85M

#BoxOffice"
"199","Breakthrough grossed an estimated $11.10M this weekend.  5-Day total stands at $14.61M.

#BreakthroughMovie  #BoxOffice  @DisneyStudios  @20thcenturyfox  @SeeBreakthrough"
"200","Or even if you're not bored."
"201","Absolutely incredible @ChrissyMetz #BreakthroughMovie was outstanding and you all just made everyone a believer in God and the power of prayer!<U+2764><U+FE0F><U+0001F64F><U+0001F3FB><U+0001F64C><U+0001F3FB>"
"202","Absolutely loved this movie. Thank you for sharing this beautiful story. #BreakthroughMovie"
"203","@ChrissyMetz just saw #BreakthroughMovie and it was fabulous! You were amazing in it. I bawled my eyes out for basically the entire movie but it was so powerful! Great job!Loved it!"
"204","Go out and see #BreakthroughMovie @StephenCurry30 steph Curry executive producer, movie it is amazing. It will touch everyone’s hearts<U+2665><U+FE0F><U+2665><U+FE0F><U+2665><U+FE0F>"
"205","All of the religion, with none of the messy scientific advancement in medicine that will be the real reason basketball kid lives at the end. How did this Lifetime Channel garbage make it into a theater."
"206","Yesterday is not ours to recover, but tomorrow is ours to win or lose. #BreakthroughMovie"
"207","The Breakthrough movie had me in tears the whole movie #BreakthroughMovie  is a movie to see, make sure you bring tissues, like no cap<U+0001F62D><U+0001F91E><U+0001F64F><U+0001F64F>"
"208","Love ur review! Loved the movie!! Bring. TISSUES! #BreakthroughMovie"
"209","Me and the fam are about to see the #BreakthroughMovie"
"210","Today I went to see this movie with seven of my sisters from our church, what a powerful movie!  Lesson give it all to God and watch him work<U+0001F64F><U+0001F3FD><U+0001F64F><U+0001F3FD>  #BreakthroughMovie"
